context_id	phase	context_type	query_or_entry	reference_version	reference_example_count	ordered_tatoeba_pair_ids	capture_status	evidence_source
D01	discovery	dictionary-entry	cave	Nihongo-1.34.3-9792	7	484243:483985,11491039:3008736,2804141:2804142,11195158:11085878,8823605:1294352,9106984:9106983,207433:44686	verified-public-pairs	issue-140-a60d6f2
D02	discovery	dictionary-entry	cat	Nihongo-1.34.3-9792	7	85345:269036,101396:302300,91803:311909,91804:311908,97661:306043,101398:302298,78908:324808	verified-public-pairs	issue-140-a60d6f2
D03	discovery	dictionary-entry	eat	Nihongo-1.34.3-9792	7	77229:34326,5160:2765281,5222:1881,78956:324760,77970:62636,75107:328612,77975:62636	verified-public-pairs	issue-140-a60d6f2
D04	discovery	dictionary-entry	beautiful	Nihongo-1.34.3-9792	7	85541:410244,5196:1829,85563:318150,4894:1480,84940:2617277,4796:1375,5062:1658	verified-public-pairs	issue-140-a60d6f2
D05	discovery	dictionary-entry	thank you	Nihongo-1.34.3-9792	7	81557:1564,141799:272771,145585:268952,140220:274353,4971:1564,78721:64536,124756:64155	verified-public-pairs	issue-140-a60d6f2
D06	discovery	direct-search	scared you	Nihongo-1.34.3-9792	4	108058:295628,12574578:12373614,2409471:2396319,472836:473875	verified-public-pairs	issue-148-de8164e
D07	discovery	direct-search	startled you	Nihongo-1.34.3-9792	0		verified-empty	issue-148-de8164e
D08	discovery	direct-search	scare you	Nihongo-1.34.3-9792	4	12574578:12373614,2409471:2396319,472836:473875,108058:295628	verified-public-pairs	issue-148-de8164e
D09	discovery	direct-search	red you	Nihongo-1.34.3-9792	0		verified-empty	issue-148-de8164e
D10	discovery	direct-search	startle you	Nihongo-1.34.3-9792	1	1804152:1804150	verified-public-pair	issue-148-de8164e
D11	discovery	direct-search	startled me	Nihongo-1.34.3-9792	2	180017:18876,201898:39109	verified-public-pairs	issue-148-de8164e
D12	discovery	direct-search	scatter	Nihongo-1.34.3-9792	21	13082684:12506664,84034:319682,121680:282324,121693:282312,97080:306624,165344:249161	verified-bounded-top-6-of-21-public-pairs	issue-147-capture-2026-08-14
D13	discovery	direct-search	education	Nihongo-1.34.3-9792	50+	101213:302483,99030:304669,86304:317407,91148:312566,97068:306636,108350:295336,77885:325833,107547:296139,108352:295334,90195:313518,90461:313252,78013:269755,78201:325517,5017:1611,102432:301262,74442:329277,77888:325830,85196:318517,93967:309739,94516:309190,77999:325719,89716:313999,106538:297148,97240:306462,98332:305370	verified-capped-50-plus-bounded-top-25-public-pairs	issue-147-capture-2026-08-14
D14	discovery	direct-search	great	Nihongo-1.34.3-9792	50+	80816:322899,84010:319707,83539:320177,77610:326108,81547:273617,75820:327898	verified-capped-50-plus-bounded-top-6-public-pairs	issue-147-capture-2026-08-14
D15	discovery	direct-search	neat	Nihongo-1.34.3-9792	19	13080161:10976470,89186:314520,114346:289326,3576156:3575411,88369:315338,116204:287459	verified-bounded-top-6-of-19-public-pairs	issue-147-capture-2026-08-14
D16	discovery	direct-search	quickly	Nihongo-1.34.3-9792	50+	115417:288254,121618:282387,78253:325464,121809:282196,80867:322848,92690:311019,101661:302031	verified-capped-50-plus-bounded-top-7-public-pairs	issue-147-capture-2026-08-14
D17	discovery	direct-search	cat!	Nihongo-1.34.3-9792	50+	85345:269036,101396:302300,91803:311909,91804:311908,97661:306043,101398:302298,78908:324808	verified-capped-50-plus-bounded-top-7-public-pairs	issue-147-capture-2026-08-14
D18	discovery	direct-search	食べる	Nihongo-1.34.3-9792	50+	78845:324871,79086:324631,112055:291622,100239:303458,122247:281755,126183:277809,81825:321890	verified-capped-50-plus-bounded-top-7-public-pairs	issue-147-capture-2026-08-14
D19	discovery	direct-search	食べた	Nihongo-1.34.3-9792	50+	5160:2765281,105714:297973,155083:31191,126196:277782,5331:2413,145237:269326,108471:295215	verified-capped-50-plus-bounded-top-7-public-pairs	issue-147-capture-2026-08-14
D20	discovery	direct-search	ねこ	Nihongo-1.34.3-9792	9	9065865:2936461,229125:66484,198626:35819,1518071:1557001,172958:241515,187012:24149,77011:326708,227532:64885,205933:43179	verified-complete-9-public-pairs	issue-147-capture-2026-08-14
